web-scraper-order,web-scraper-start-url,shipcard-img-src
"1600213483-318","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/8/87/I-56ShipyardIcon.png/144px-I-56ShipyardIcon.png"
"1600213483-69","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/a/af/BeagleShipyardIcon.png/144px-BeagleShipyardIcon.png"
"1600213483-412","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/e/e2/MonarchShipyardIcon.png/144px-MonarchShipyardIcon.png"
"1600213483-147","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/f/fa/AbukumaShipyardIcon.png/144px-AbukumaShipyardIcon.png"
"1600213483-477","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/4/44/IseKaiShipyardIcon.png/144px-IseKaiShipyardIcon.png"
"1600213483-121","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/c/c8/ErebusShipyardIcon.png/144px-ErebusShipyardIcon.png"
"1600213483-317","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/f/fa/I-25ShipyardIcon.png/144px-I-25ShipyardIcon.png"
"1600213483-397","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/0/0b/UruuruShipyardIcon.png/144px-UruuruShipyardIcon.png"
"1600213483-204","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/7/76/Tai_YuanShipyardIcon.png/144px-Tai_YuanShipyardIcon.png"
"1600213483-398","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/7/77/SaraanaShipyardIcon.png/144px-SaraanaShipyardIcon.png"
"1600213483-268","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/4/43/Le_TriomphantShipyardIcon.png/144px-Le_TriomphantShipyardIcon.png"
"1600213483-99","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/3/37/NorfolkShipyardIcon.png/144px-NorfolkShipyardIcon.png"
"1600213483-172","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/e/e8/HiyouShipyardIcon.png/144px-HiyouShipyardIcon.png"
"1600213483-187","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/c/c5/Z25ShipyardIcon.png/144px-Z25ShipyardIcon.png"
"1600213483-209","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/12/BaileyShipyardIcon.png/144px-BaileyShipyardIcon.png"
